大标题,采购项目名称,品目,采购单位,行政区域,公告时间,获取招标文件时间,招标文件售价,获取招标文件的地点,开标时间,开标地点,预算金额,项目联系人,项目联系电话,采购单位地址,采购单位联系方式,代理机构名称,代理机构地址,代理机构联系方式,附件1,附件2
鲁南区域灭火与应急救援中心挡土墙工程项目公开招标公告,鲁南区域灭火与应急救援中心挡土墙工程项目,工程/专业施工/其他专业施工,济宁市消防救援支队,济宁市,2022年01月14日  16:04,"2022年01月17日至2022年01月21日, 每日上午:9:00 至 11:30  下午:13:30 至 16:30（北京时间，法定节假日除外）",￥300,山东省济宁市任城区神道路太白国际1号楼公馆703室（联系人：牛工，联系电话：15264778075、15064077297）,2022年02月11日  14:30,具体时间及地点详见招标文件,￥240.977982万元（人民币）,牛工,15264778075、15064077297,济宁市金宇路34号,焦科长  0537-2568818,中正信造价咨询有限公司,山东省济宁市任城区神道路太白国际1号楼公馆703室,牛工  15264778075、15064077297,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523835.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523835.htm
中国人民大学通州新校区行政服务中心楼群（含行政服务中心、音乐厅、学术报告厅）、中心食堂项目全过程跟踪审计咨询服务公开招标公告,中国人民大学通州新校区行政服务中心楼群（含行政服务中心、音乐厅、学术报告厅）、中心食堂项目全过程跟踪审计咨询服务,服务/工程咨询管理服务/工程造价咨询服务,中国人民大学,通州区,2022年01月14日  16:06,"2022年01月14日至2022年01月21日, 每日上午:9:00 至 12:00  下午:13:00 至 17:00（北京时间，法定节假日除外）",￥200,中招联合招标采购平台（网址：http://www.365trade.com.cn）,2022年02月08日  14:00,北京市海淀区学院南路62号中关村资本大厦6层（标室详见LED屏幕）,￥230.000000万元（人民币）,张美薇,010-61954098,北京市海淀区中关村大街59号,刘老师 010-62516966,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦911B,张美薇、李安平、丁建华、韩鹤天 010-61954098,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523620.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523620.htm
国家税务总局南京市秦淮区税务局2022年-2025年食堂委托管理服务公开招标公告,国家税务总局南京市秦淮区税务局2022年-2025年食堂委托管理服务,服务/住宿和餐饮服务/餐饮服务,国家税务总局南京市秦淮区税务局,秦淮区,2022年01月14日  16:23,"2022年01月17日至2022年01月21日, 每日上午:8:30 至 11:30  下午:13:30 至 17:30（北京时间，法定节假日除外）",￥655,新点电子交易平台-华厦专区 ，网址为：http://huaxia.etrading.cn/,2022年02月11日  09:30,南京市鼓楼区虎踞北路181号金源大厦17层1718室,￥279.840000万元（人民币）,王工,025-58750867-822,南京市秦淮区常府街6号复成大厦,刘云  025-84793268,江苏省华厦工程项目管理有限公司,南京市鼓楼区虎踞北路181号金源大厦17层,王工  025-58750867-822,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523793.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523793.htm
塔城边境管理支队安防监控智能化改造采购项目招标公告,塔城边境管理支队安防监控智能化改造采购项目,,塔城边境管理支队,塔城地区,2022年01月14日  16:34,"2022年01月14日至2022年02月09日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月10日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥404.200000万元（人民币）,陆瑶,15810238646,新疆维吾尔自治区塔城市新南街128号,0901-6244110,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523897.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523897.htm
塔城边境管理支队安防监控智能化改造采购项目招标公告,塔城边境管理支队安防监控智能化改造采购项目,,塔城边境管理支队,塔城地区,2022年01月14日  16:34,"2022年01月14日至2022年02月09日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月10日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥404.200000万元（人民币）,陆瑶,15810238646,新疆维吾尔自治区塔城市新南街128号,0901-6244110,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523894.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523894.htm
南京大学膳食中心粉丝类食品原材料采购公开招标公告（第二次）,南京大学膳食中心粉丝类食品原材料采购,货物/食品、饮料和烟草原料/农副食品，动、植物油制品/淀粉及淀粉制品,南京大学,南京市,2022年01月14日  16:37,"2022年01月14日至2022年01月21日, 每日上午:9:00 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥500,中招联合招标采购平台网址为：http://www.365trade.com.cn/,2022年02月16日  09:00,南京市山西路98号江苏成套大厦一楼东大厅开标大厅,￥57.066855万元（人民币）,颜丽、徐鑫磊,025-83315832   83311056  13913931305,南京市栖霞区仙林大道163号,胡老师   025-89688959,江苏省设备成套股份有限公司,南京市山西路120号17楼1701室,颜丽、徐鑫磊 025-83315832   83311056  13913931305,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523939.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17523939.htm
济南市消防救援支队高清视频会议系统升级改造采购项目招标公告,济南市消防救援支队高清视频会议系统升级改造采购项目,,济南市消防救援支队,济南市,2022年01月14日  16:44,"2022年01月14日至2022年02月10日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月11日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥255.198667万元（人民币）,陆瑶,15810238646,山东省济南市历下区奥体中路5166号,0531-88673062,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524007.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524007.htm
南京航空航天大学可编程直流电源和可编程直流电子负载采购（二次）项目的公开招标公告,南京航空航天大学可编程直流电源和可编程直流电子负载采购,货物/专用设备/专用仪器仪表/其他专用仪器仪表,南京航空航天大学,江苏省,2022年01月14日  16:51,"2022年01月17日至2022年01月21日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥500,南京市建邺区嘉陵江东街8号综合体B3栋一单元16层,2022年02月22日  14:30,南京市建邺区嘉陵江东街8号综合体B3栋一单元16层开标大厅,￥24.500000万元（人民币）,张工/蔡工,025-83603328,南京市御道街29号,王老师  19850826966,江苏省华采招标有限公司,江苏省南京市建邺区嘉陵江东街8号综合体B3栋一单元16层,张工/蔡工   025-83603328,付款码.png-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524413.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524413.htm
上海交通大学李政道研究所低温磁场系统国际公开招标公告,上海交通大学李政道研究所低温磁场系统,货物/通用设备/仪器仪表/分析仪器/物理特性分析仪器及校准仪器,上海交通大学,上海市,2022年01月14日  16:57,"2022年01月14日至2022年01月21日, 每日上午:9:30 至 11:30  下午:13:30 至 16:00（北京时间，法定节假日除外）",￥500,上海市共和新路1301号C座110室,2022年02月14日  10:30,上海市共和新路1301号C座111室,￥350.000000万元（人民币）,林佳文、吴乾清,86-21-26065286、86-21-26065275,上海市东川路800号,章老师 86-21-54747172，技术联系人：袁老师 86-13023243456,上海中招招标有限公司,上海市共和新路1301号C座110室,林佳文、吴乾清 86-21-26065286、86-21-26065275、lins32@126.com,购买标书登记表（国际标）.xlsx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524474.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524474.htm
合肥国家实验室纱窗采购项目招标公告,合肥国家实验室纱窗采购项目,货物/建筑建材/建筑物、构筑物附属结构/窗,合肥国家实验室,合肥市,2022年01月14日  17:36,"2022年01月15日至2022年01月21日, 每日上午:9:00 至 12:00  下午:12:00 至 18:00（北京时间，法定节假日除外）",￥0,安招采电子招标采购交易系统（https://www.52ngs.com）,2022年02月16日  10:00,合肥市经开区翡翠路与芙蓉路交口港澳广场A座19楼三号会议室。,￥410.000000万元（人民币）,汪工,13365513306,合肥高新区望江西路,张老师；13705511358,安徽鼎信项目管理股份有限公司,合肥市经开区翡翠路与芙蓉路交口港澳广场A座17-20层,汪工；0551-65860109-8611,采购需求——合肥国家实验室纱窗采购项目（定稿）.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524701.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524701.htm
故宫博物院物业服务采购项目招标公告,故宫博物院物业服务采购项目,,故宫博物院,市辖区,2022年01月18日  14:34,"2022年01月14日至2022年02月09日, 每日上午:0:00 至 11:59  下午:12:00 至 23:59（北京时间，法定节假日除外）",￥0,在线下载 （https://www.zycg.gov.cn）,2022年02月10日  09:00,项目通过网上开标大厅进行开标，请在开标当日登录国e采系统点击“网上开标”进入网上开标大厅，在规定时间内等待解密和唱标,￥8000.000000万元（人民币）,卢昀灿灿,010-55602722,北京市东城区景山前街4号,010-65214245,中央国家机关政府采购中心,西章胡同9号院,010-83083702,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17532284.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220118_17532284.htm
国家广播电视总局五七三台视听审核工程完善优化计算资源、网络资源、存储资源项目公开招标公告,视听审核工程完善优化计算资源、网络资源、存储资源项目,货物/通用设备/计算机设备及软件/其他计算机设备及软件,国家广播电视总局五七三台,北京市,2022年01月17日  18:48,"2022年01月17日至2022年01月24日, 每日上午:9:00 至 12:00  下午:12:00 至 17:00（北京时间，法定节假日除外）",￥500,中招联合招标采购平台（http://www.365trade.com.cn）,2022年02月08日  14:00,中招联合招标采购平台（http://www.365trade.com.cn）线上开标,￥567.500000万元（人民币）,王丽莉、师杉、林彧杰、秦璐璐、马翔宇、徐润斌、曲志鸣、郭同玲,010－62108150  62108152,北京市昌平区东三旗543号,祝晓波  010-86096937,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦611A,王丽莉、师杉、林彧杰、秦璐璐、马翔宇、徐润斌、曲志鸣、郭同玲    010－62108150  62108152,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17530253.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17530253.htm
南京大学膳食中心烘焙成品类食品原材料采购公开招标公告,南京大学膳食中心烘焙成品类食品原材料采购,货物/食品、饮料和烟草原料/食品及加工盐/焙烤食品,南京大学,南京市,2022年01月14日  16:56,"2022年01月14日至2022年01月21日, 每日上午:9:00 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥500,中招联合招标采购平台网址为：http://www.365trade.com.cn/,2022年02月16日  09:00,南京市山西路98号江苏成套大厦一楼东大厅开标大厅,￥24.901600万元（人民币）,颜丽、徐鑫磊,025-83315832   83311056  13913931305,南京市栖霞区仙林大道163号,胡老师   025-89688959,江苏省设备成套股份有限公司,南京市山西路120号17楼1701室,颜丽、徐鑫磊 025-83315832   83311056  13913931305,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524171.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220114_17524171.htm
某单位车辆器材社会化保障网点项目公开招标公告,车辆器材社会化保障网点项目,货物/通用设备/车辆/车辆附属设施及零部件,某单位,徐州市,2022年01月17日  19:30,"2022年01月17日至2022年01月24日, 每日上午:9:00 至 11:30  下午:13:30 至 17:00（北京时间，法定节假日除外）",￥200,江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1011室。,2022年02月09日  09:30,江苏海外集团国际工程咨询有限公司徐州分公司开标室（江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1017室）。,￥80.000000万元（人民币）,孙逊,0516-83999055 ,江苏省徐州市,翟先生：18912012730     李先生：18114989182,江苏海外集团国际工程咨询有限公司,江苏省徐州市泉山区金山东路北侧徐州软件园C-11号楼1011室 ,孙逊0516-83999055 ,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17530463.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17530463.htm
中国民航大学校本部、宁河校区商铺招租（水果、奶昔烘焙）公开招标公告,中国民航大学校本部、宁河校区商铺招租（水果、奶昔烘焙）,"服务/租赁服务（不带操作员）/其他租赁服务,服务/房地产服务/房屋租赁服务",中国民航大学,天津市,2022年01月17日  16:25,"2022年01月18日至2022年01月24日, 每日上午:9:00 至 12:00  下午:14:00 至 17:00（北京时间，法定节假日除外）",￥500,网上获取,2022年02月22日  09:30,中国民航大学（天津市东丽区津北公路2898号）学术交流中心,￥0.000000万元（人民币）,尹老师、佟老师,15620928155 13212109363,天津市东丽区津北公路2898号,顾老师 022-24092963,天津倚天工程咨询有限公司,天津市河西区环渤海发展中心A座14层,尹老师、佟老师15620928155 13212109363,项目需求书.docx-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528685.htm,None-http://www.ccgp.gov.cn/cggg/zygg/gkzb/202201/t20220117_17528685.htm
